LOS Supported?,Field ID,1003 Section,Data Stream,Position,Field Length,# Occurrences,Field Information,Value(s)/EDI Code(s),"Desktop
Underwriter (DU)",Government (G),"Credit
Request (CR)",EarlyCheck (EC),Root Element:  <LOAN_APPLICATION>
,,,<N/L>,,,,End of record: Length=188,,,,,,
,PAI-010,,PAI,1,3,S,"Record ID: Property Address Information

Segment is optional. If provided it will be used instead of the single address element (02A-020).

Not Required. However, all systems should support this segment to prevent the loss of data when a user imports/exports a 1003 file between systems.",,C,C,,C,
,PAI-020,,House Number,4,11,,"Text

Required if 02A-020 is not populated.",,C,C,,C,<PROPERTY PARSEDSTREETADDRESS _HouseNumber>
,PAI-030,,Street Name,15,40,,"Text

Contains pre-directional (e.g. N, S), actual Street Name, Street Type (e.g. Ave, Blvd), and post-directional (e.g. NW, SE)

Required if 02A-020 is not populated.",,C,C,,C,<PROPERTY PARSEDSTREETADDRESS _StreetName>
,PAI-040,,Unit Number,55,11,,"Text

Does not contain Unit Type (e.g. APT, UNIT, #)

Required if 02A-020 is not populated.",,C,C,,C,<PROPERTY PARSEDSTREETADDRESS _ApartmentOrUnit>
,,,<N/L>,,,,End of record: Length=65,,,,,,
,02B-010,,02B,1,3,S,Record ID: Purpose of Loan,,R,R,,R,
,02B-020,,Reserved for Future Use,4,2,,"Unused, pad with spaces",,,,,,
,02B-030,II,Purpose of Loan,6,2,,"Identifies the reason loan is needed.

Government Loans:
For VA or FHA valid fields include 05 and 16. For FHA Construction-Perm loans, populate 16.","EDI Element 1081:
04 = Construction
05 = Refinance
13 = Construction-Perm
15 = Other
16 = Purchase",R,R,,R,<LOAN_PURPOSE _Type>
,02B-040,II,Purpose of Loan (Other),8,80,,"Text

Specify value if field
#02B-030 is Other
NOT REQUIRED",,,,,,<LOAN_PURPOSE OtherLoanPurposeDescription>
,02B-050,II,Property will be,88,1,,"Identifies the type of residence of the subject property.

For VA or FHA valid Codes = 1.","EDI Element 1070:
1 = Primary Residence
2 = Secondary Residence
D = Investment Property",R,R,,R,<LOAN_PURPOSE PropertyUsageType>
,02B-060,II,Manner in which Title will be held,89,60,,Text,,,,,,<LOAN_PURPOSE GSETitleMannerHeldDescription>
,02B-070,II,Estate will be held in,149,1,,Defines the property rights of the owner.,"Fannie Mae Property Rights Codes:
1- Fee Simple
2 ? Leasehold",R,,,,<LOAN_PURPOSE PropertyRightsType>
,02B-080,II,(Estate will be held in) Leasehold expiration date,150,8,,"The expiration date of the Leasehold, if applicable.

Format: CCYYMMDD",,,,,,<LOAN_PURPOSE PropertyLeaseholdExpirationDate>
,,,<N/L>,,,,End of record: Length=157,,,,,,
,02C-010,,02C,1,3,M,Record ID: Title Holder,,,,,,
,02C-020,II,Titleholder Name,4,60,,Text,,,,,,<TITLE_HOLDER _Name>
,,,<N/L>,,,,End of record: Length=63,,,,,,
,02D-010,,02D,1,3,S,"Record ID: Construction or Refinance Data

Conventional Loans: Complete ONLY if Purpose of Loan (field #02B-030) is Construction or Refinance

Government Loans: Construction loans are not currently available. ",,C,C,,C,
,02D-020,II,Year Lot Acquired (Construction) or Year Acquired (Refinance),4,4,,"Calendar year in which the site of the home to be built was purchased.

Format: CCYY",,,,,,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA PropertyAcquiredYear>
,02D-030,II,Original Cost (Construction or Refinance),8,15,,"Original cost of acquiring the site on which the home will be built.

Format: Z(12).Z(2)",,,,,,"<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA LandOriginalCostAmount>

<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA PropertyOriginalCostAmount>"
,02D-040,II,Amount Existing Liens (Construction or Refinance),23,15,,"Total amount of liens against the site at the time of application for the loan.

Format: Z(12).Z(2)",,,,,,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA PropertyExistingLienAmount>
,02D-050,II,(a) Present Value of Lot,38,15,,"Market value of the site at the time of application for the loan.

Format: Z(12).Z(2)

Specify value if field #02B-030 is Construction
NOT REQUIRED",,,,,,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA LandEstimatedValueAmount>
,02D-060,II,(b) Cost of Improvements,53,15,,"Total cost of improvements to be made to the site.

Format: Z(12).Z(2)

Specify value if field
#02B-030 is Construction
NOT REQUIRED",,,,,,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA ConstructionImprovementCostsAmount>
,02D-070,II,Purpose of Refinance,68,2,,"Required if field 02B-030 is ?05? for Refinance.

Conventional Loans: F1 = No Cash-Out is not supported by DU. Conventional No Cash-Out loans should be submitted as a Limited Cash-Out.

Government Loans: F1 is a supported value.","EDI Data Element 1082:
F1 = No Cash Out
01 = Cash-Out/Other
04 = Cash-Out/Home Improvement
11 = Cash-Out/Debt Consolidation
13 = Limited Cash-Out",C,C,,C,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA GSERefinancePurposeType>
,02D-080,II,Describe Improvements,70,80,,"Text

Specify value if field #02D-070 is Home Improvement
NOT REQUIRED",,,,,,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA RefinanceProposedImprovementsDescription>
,02D-090,II,(Describe Improvements) mad/tobe made,150,1,,"Specify value if field #02D-070 is Home Improvement
NOT REQUIRED","Y = Made
N = To be made
U = Unknown",,,,,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA RefinanceImprovementsType>
,02D-100,II,(Describe Improvements) Cost,151,15,,"Dollar amount of home improvements associated with property.

Format: Z(12).Z(2)
Specify value if field
#02D-070 is Home Improvement
NOT REQUIRED",,,,,,<LOAN_PURPOSE CONSTRUCTION_REFINANCE_DATA RefinanceImprovementCostsAmount>
,,,<N/L>,,,,End of record: Length=165,,,,,,
,02E-010,,02E,1,3,M,"Record ID: Down Payment

This record identifies the source(s) of down payment, NOT the amount of down payment available or required.
Fannie Mae: Required for VA Purchase loans. Required for FHA loans when gift(s) is used as the down payment source.",,,C,,,
